Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10470,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,NONCONST,VERMIN,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11435,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,JANITOR-SUPER,11432,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11420,South Ozone Park,10 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11222,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11367,Flushing,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11224,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10030,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10314,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11207,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11432,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),11235,BROOKLYN,15 BROOKLYN,BROOKLYN
New York City Police Department,Illegal Parking,Commercial Overnight Parking,11429,QUEENS VILLAGE,13 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Talking,11106,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11249,BROOKLYN,01 BROOKLYN,BROOKLYN
New York City Police Department,Illegal Parking,Blocked Hydrant,10465,BRONX,10 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,11232,BROOKLYN,12 BROOKLYN,BROOKLYN
A - Bronx,Dirty Conditions,"E4 18"" Law",10469,BRONX,12 BRONX,BRONX
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10032,NEW YORK,12 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11103,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11224,BROOKLYN,13 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Banging/Pounding,10022,NEW YORK,06 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11375,FOREST HILLS,06 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10304,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Illegal Parking,Blocked Hydrant,10465,BRONX,10 BRONX,BRONX
A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,10469,BRONX,12 BRONX,BRONX
New York City Police Department,Noise - Commercial,Loud Music/Party,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Transportation,Street Sign - Dangling,"No Parking, Standing, Stopping",11219,BROOKLYN,12 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,Partial Access,10468,BRONX,07 BRONX,BRONX
Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",11223,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Street Light Out,10463,BRONX,Unspecified BRONX,BRONX
New York City Police Department,Noise - Commercial,Loud Music/Party,11105,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Noise - Vehicle,Car/Truck Music,10012,NEW YORK,02 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11375,FOREST HILLS,06 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11368,CORONA,03 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11221,BROOKLYN,04 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Vehicle,Engine Idling,10028,NEW YORK,08 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11377,WOODSIDE,02 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Car/Truck Music,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
BCC - Brooklyn South,Sanitation Condition,12 Dead Animals,,,18 BROOKLYN,BROOKLYN
Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,10457,BRONX,05 BRONX,BRONX
Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
New York City Police Department,Urinating in Public,N/A,10020,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Food Establishment,Food Spoiled,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11234,BROOKLYN,18 BROOKLYN,BROOKLYN
New York City Police Department,Homeless Encampment,N/A,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Operations Unit - Department of Homeless Services,Homeless Person Assistance,No Status Call,11235,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",11104,Sunnyside,02 QUEENS,QUEENS
Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,11232,BROOKLYN,12 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11378,MASPETH,05 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11416,OZONE PARK,09 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10009,NEW YORK,03 MANHATTAN,MANHATTAN
A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,10456,BRONX,03 BRONX,BRONX
New York City Police Department,Illegal Parking,Blocked Sidewalk,10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Noise - Commercial,Loud Music/Party,11103,ASTORIA,01 QUEENS,QUEENS
A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,10456,BRONX,03 BRONX,BRONX
New York City Police Department,Noise - Commercial,Loud Music/Party,10470,BRONX,12 BRONX,BRONX
Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),11235,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Information Technology and Telecommunications,Public Payphone Complaint,Graffiti/Litter on Phone,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11235,BROOKLYN,15 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11217,BROOKLYN,06 BROOKLYN,BROOKLYN
BCC - Brooklyn North,Missed Collection (All Materials),1 Missed Collection,11217,BROOKLYN,02 BROOKLYN,BROOKLYN
BCC - Brooklyn North,Missed Collection (All Materials),1RG Missed Recycling Paper,11217,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11235,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Transportation,Highway Condition,Pothole - Highway,10314,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Noise - Commercial,Loud Music/Party,10019,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Blocked Hydrant,11234,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,11372,Jackson Heights,03 QUEENS,QUEENS
Department of Transportation,Street Light Condition,Street Light Out,11694,Rockaway Park,14 QUEENS,QUEENS
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,10031,NEW YORK,09 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11234,BROOKLYN,18 BROOKLYN,BROOKLYN
New York City Police Department,Urinating in Public,N/A,10010,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Graffiti,Police Report Requested,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),11372,Jackson Heights,Unspecified QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10471,BRONX,08 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,10458,BRONX,06 BRONX,BRONX
New York City Police Department,Noise - Commercial,Car/Truck Horn,10001,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Dirty Water (WE),10303,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Blocked Driveway,No Access,10466,BRONX,12 BRONX,BRONX
New York City Police Department,Derelict Vehicle,With License Plate,11429,QUEENS VILLAGE,01 QUEENS,QUEENS
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10038,NEW YORK,Unspecified MANHATTAN,MANHATTAN
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10001,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11412,SAINT ALBANS,12 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10040,NEW YORK,12 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11219,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,11223,BROOKLYN,15 BROOKLYN,BROOKLYN
BCC - Queens East,Derelict Vehicles,14 Derelict Vehicles,11429,Queens Village,13 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11420,SOUTH OZONE PARK,10 QUEENS,QUEENS
New York City Police Department,Derelict Vehicle,With License Plate,11379,MIDDLE VILLAGE,05 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Food Poisoning,1 or 2,11354,FLUSHING,07 QUEENS,QUEENS
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Street Light Out,,,Unspecified BROOKLYN,BROOKLYN
Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,11434,JAMAICA,13 QUEENS,QUEENS
Department of Environmental Protection,Water System,Hydrant Leaking (WC1),11373,Elmhurst,04 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11205,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,10302,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Taxi and Limousine Commission,Found Property,Clothing/Glasses,10024,NEW YORK,07 MANHATTAN,MANHATTAN
BCC - Queens East,Snow,15I Street Condition Ice-Non Storm,11432,Jamaica,08 QUEENS,QUEENS
Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11361,BAYSIDE,11 QUEENS,QUEENS
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11432,Jamaica,08 QUEENS,QUEENS
Department of Transportation,Broken Muni Meter,No Receipt,10119,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11222,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Transportation,Broken Muni Meter,No Receipt,11361,BAYSIDE,11 QUEENS,QUEENS
Department of Transportation,Street Light Condition,Street Light Out,11357,Whitestone,07 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,Unspecified BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,10018,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Commercial Overnight Parking,11379,MIDDLE VILLAGE,05 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10457,BRONX,05 BRONX,BRONX
New York City Police Department,Derelict Vehicle,With License Plate,11357,WHITESTONE,07 QUEENS,QUEENS
BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,10022,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,,0 Unspecified,Unspecified
Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,11375,FOREST HILLS,06 QUEENS,QUEENS
Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,11435,JAMAICA,12 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11204,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,10003,NEW YORK,02 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Transportation,Street Condition,Pothole,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Transportation,Street Condition,Pothole,10030,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Transportation,Street Condition,Pothole,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Transportation,Street Condition,Pothole,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Transportation,Street Condition,Pothole,10031,NEW YORK,09 MANHATTAN,MANHATTAN
New York City Police Department,Vending,In Prohibited Area,10024,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Transportation,Street Condition,Pothole,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Transportation,Street Condition,Pothole,10065,NEW YORK,08 MANHATTAN,MANHATTAN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10025,NEW YORK,07 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11415,KEW GARDENS,09 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Blocked Sidewalk,11374,REGO PARK,05 QUEENS,QUEENS
BCC - Brooklyn North,Derelict Vehicles,14 Derelict Vehicles,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,10301,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Blocked Driveway,No Access,10003,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,10457,BRONX,05 BRONX,BRONX
Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),10021,NEW YORK,Unspecified MANHATTAN,MANHATTAN
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,10128,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,Controller,10455,BRONX,01 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,11420,SOUTH OZONE PARK,10 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Blocked Sidewalk,11355,FLUSHING,07 QUEENS,QUEENS
Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),10010,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11361,BAYSIDE,11 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11105,ASTORIA,01 QUEENS,QUEENS
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,10031,NEW YORK,09 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,Partial Access,11368,CORONA,03 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,Partial Access,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BROOKLYN,BROOKLYN
Department of Environmental Protection,Water System,Hydrant Leaking (WC1),10019,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11354,FLUSHING,07 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11236,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Transportation,Broken Muni Meter,No Receipt,10022,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11355,FLUSHING,07 QUEENS,QUEENS
Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10016,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),10010,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Transportation,Street Light Condition,Street Light Out,11365,Fresh Meadows,11 QUEENS,QUEENS
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,11416,OZONE PARK,09 QUEENS,QUEENS
Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),10010,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Overnight Commercial Storage,11435,JAMAICA,12 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Car/Truck Horn,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,11232,BROOKLYN,07 BROOKLYN,BROOKLYN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10017,NEW YORK,05 MANHATTAN,MANHATTAN
Manhattan 04,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,10011,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),11377,Woodside,02 QUEENS,QUEENS
Department of Transportation,Street Condition,Plate Condition - Shifted,11231,BROOKLYN,06 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Transportation,Street Condition,Plate Condition - Noisy,11217,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Drinking Water,Illness Caused by Drinking Water,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Environmental Protection,Water System,Hydrant Leaking (WC1),10011,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,Partial Access,11358,FLUSHING,07 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,10305,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
Department of Health and Mental Hygiene,Food Poisoning,1 or 2,11224,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Lamppost Leaning,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,Partial Access,11234,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11417,Ozone Park,10 QUEENS,QUEENS
Correspondence - Taxi and Limousine Commission,Taxi Compliment,Driver Compliment,,,0 Unspecified,Unspecified
Department of Consumer Affairs,Consumer Complaint,Overcharge,10011,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10036,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,Partial Access,11420,SOUTH OZONE PARK,10 QUEENS,QUEENS
New York City Police Department,Noise - Vehicle,Engine Idling,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10011,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Buildings,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10018,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11370,EAST ELMHURST,03 QUEENS,QUEENS
Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,10032,NEW YORK,09 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,10453,BRONX,05 BRONX,BRONX
New York City Police Department,Derelict Vehicle,With License Plate,11236,BROOKLYN,17 BROOKLYN,BROOKLYN
New York City Police Department,Illegal Parking,Blocked Sidewalk,10028,NEW YORK,08 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Overnight Commercial Storage,11356,COLLEGE POINT,07 QUEENS,QUEENS
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BROOKLYN,BROOKLYN
BCC - Queens East,Derelict Vehicles,14 Derelict Vehicles,11356,College Point,07 QUEENS,QUEENS
Department of Sanitation,Graffiti,Graffiti,,,Unspecified MANHATTAN,MANHATTAN
Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11419,South Richmond Hill,09 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10465,BRONX,10 BRONX,BRONX
BCC - Brooklyn South,Sanitation Condition,12 Dead Animals,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,11372,JACKSON HEIGHTS,03 QUEENS,QUEENS
Department of Transportation,Highway Condition,Cave-in,10314,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Homeless Encampment,N/A,10016,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Commercial Overnight Parking,11362,LITTLE NECK,11 QUEENS,QUEENS
Department of Transportation,Street Light Condition,Street Light Out,10461,BRONX,10 BRONX,BRONX
