Agency,Business Title,Civil Service Title,Level,Division/Work Unit
DEPT OF HEALTH/MENTAL HYGIENE,Director of Fiscal Services and Analytics,ADMINISTRATIVE STAFF ANALYST (,00,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,Director of Fiscal Services and Analytics,ADMINISTRATIVE STAFF ANALYST (,00,OCME-Admin
TAXI & LIMOUSINE COMMISSION,Managing Attorney,EXECUTIVE AGENCY COUNSEL,M1,Prosecution Division
TAXI & LIMOUSINE COMMISSION,Managing Attorney,EXECUTIVE AGENCY COUNSEL,M1,Prosecution Division
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Practitioner, Bureau of Sexually Transmitted Disease",NURSE PRACTITIONER(DEPT HEALTH,02,STD Administration
DEPT OF ENVIRONMENT PROTECTION,Information technology coordinator,COMPUTER SPECIALIST (SOFTWARE),01,Mayors Office-Env Coor Float
DEPT OF ENVIRONMENT PROTECTION,Information technology coordinator,COMPUTER SPECIALIST (SOFTWARE),01,Mayors Office-Env Coor Float
DEPT OF HOMELESS SERVICES,Graduate or Undergraduate Intern,SUMMER GRADUATE INTERN,00,Shelter Operations
DEPT OF HOMELESS SERVICES,Graduate or Undergraduate Intern,SUMMER GRADUATE INTERN,00,Shelter Operations
DEPT OF HEALTH/MENTAL HYGIENE,"Coordinator, NHBS, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Epidem & Field Srvcs
DEPT OF HEALTH/MENTAL HYGIENE,"Coordinator, NHBS, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Epidem & Field Srvcs
NYC HOUSING AUTHORITY,SUPERVISOR PAINTER,SUPERVISOR PAINTER,00,"Maint, Repair & Skilled Trades"
DEPT OF HEALTH/MENTAL HYGIENE,"FSCS Ombuds Coordinator, Bureau of Food Safety and Community Sanitation",CITY RESEARCH SCIENTIST,03,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,"FSCS Ombuds Coordinator, Bureau of Food Safety and Community Sanitation",CITY RESEARCH SCIENTIST,03,Food Safety & Community Sanit
DEPT OF HOMELESS SERVICES,"Planning, Development and Grants Intern",SUMMER COLLEGE INTERN,00,Planning/Dvlpmnt and Grants
DEPT OF HOMELESS SERVICES,"Planning, Development and Grants Intern",SUMMER COLLEGE INTERN,00,Planning/Dvlpmnt and Grants
ADMIN TRIALS AND HEARINGS,Deputy Operations Manager,COMMUNITY COORDINATOR,00,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Deputy Operations Manager,COMMUNITY COORDINATOR,00,Taxi Tribunal-Queens
DEPT OF HOMELESS SERVICES,Summer College Interne,SUMMER COLLEGE INTERN,00,Personnel
BUSINESS INTEGRITY COMMISSION,Deputy Director of Licensing,ADMINISTRATIVE STAFF ANALYST (,M1,Default
BUSINESS INTEGRITY COMMISSION,Deputy Director of Licensing,ADMINISTRATIVE STAFF ANALYST (,M1,Default
DEPARTMENT OF CORRECTION,Principal Administrative Associate I,PRINCIPAL ADMINISTRATIVE ASSOC,01,Office of Trials
DEPT OF HOMELESS SERVICES,Family Services Intern for Cares Case Review,SUMMER COLLEGE INTERN,00,Asst Comm Transitional Srvc
DEPT OF HOMELESS SERVICES,Summer College Interne,SUMMER COLLEGE INTERN,00,Personnel
DEPT OF HOMELESS SERVICES,Summer Legal Intern,SUMMER COLLEGE INTERN,00,General Counsel
DEPT OF HOMELESS SERVICES,Summer Legal Intern,SUMMER COLLEGE INTERN,00,General Counsel
ADMIN TRIALS AND HEARINGS,Customer Service Clerk,COMMUNITY ASSISTANT,00,Taxi Tribunal-Queens
DEPT OF HOMELESS SERVICES,Family Services Intern for Cares Case Review,SUMMER COLLEGE INTERN,00,Asst Comm Transitional Srvc
DEPT OF ENVIRONMENT PROTECTION,OPERATIONAL SUPPORT TECHNICIAN,COMPUTER ASSOC (OPERATIONS),01,WSO-Executive/Tech Mgmt Office
DEPT OF ENVIRONMENT PROTECTION,OPERATIONAL SUPPORT TECHNICIAN,COMPUTER ASSOC (OPERATIONS),01,WSO-Executive/Tech Mgmt Office
CONSUMER AFFAIRS,Cure Coordinator,COMMUNITY COORDINATOR,00,Collection
DEPT OF HOMELESS SERVICES,Summer Intern,SUMMER GRADUATE INTERN,00,Housing Policy and Placement
ADMIN TRIALS AND HEARINGS,Customer Service Clerk,COMMUNITY ASSISTANT,00,Taxi Tribunal-Queens
NYC HOUSING AUTHORITY,SUPERVISOR ROOFER,SUPERVISOR ROOFER,00,Queens-SI Property Management
DEPT OF HEALTH/MENTAL HYGIENE,"Clinical Supervisor/NYCSupported Transition & Recovery Team, Bureau of Mental Health",SUPERVISOR II SOCIAL WORK,00,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Clinical Supervisor/NYCSupported Transition & Recovery Team, Bureau of Mental Health",SUPERVISOR II SOCIAL WORK,00,Mental Health
DEPT OF HOMELESS SERVICES,Contract Analyst Intern,SUMMER GRADUATE INTERN,00,Office of Budget
DEPT OF HOMELESS SERVICES,Summer Intern,SUMMER GRADUATE INTERN,00,Housing Policy and Placement
CONSUMER AFFAIRS,Financial Empowerment Call Center Representative,COMMUNITY ASSOCIATE,00,OFC of Financial Empowerment
CONSUMER AFFAIRS,Financial Empowerment Call Center Representative,COMMUNITY ASSOCIATE,00,OFC of Financial Empowerment
DEPT OF HOMELESS SERVICES,Summer Law Clerk,SUMMER GRADUATE INTERN,00,Health Care Policy & Admin
DEPT OF HOMELESS SERVICES,Summer Law Clerk,SUMMER GRADUATE INTERN,00,Health Care Policy & Admin
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Fitness Review
DEPT OF HOMELESS SERVICES,Contract Analyst Intern,SUMMER GRADUATE INTERN,00,Office of Budget
DEPT OF HEALTH/MENTAL HYGIENE,"Peer Specialist / NYC Supported Transition and Recovery Team (NYCSTART), Bureau of Mental Health",SENIOR MENTAL HEALTH WORKER,00,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Peer Specialist / NYC Supported Transition and Recovery Team (NYCSTART), Bureau of Mental Health",SENIOR MENTAL HEALTH WORKER,00,Mental Health
DEPARTMENT OF BUSINESS SERV.,"DEPUTY COMMISSIONER, NEIGHBORHOOD DEVELOPMENT",DEPUTY COMMISSIONER (DBS),M7,Neighborhood Development
DEPARTMENT OF BUSINESS SERV.,"DEPUTY COMMISSIONER, NEIGHBORHOOD DEVELOPMENT",DEPUTY COMMISSIONER (DBS),M7,Neighborhood Development
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Fitness Review
DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager I,ASSOCIATE PROJECT MANAGER,01,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager I,ASSOCIATE PROJECT MANAGER,01,Central Brookly City Operation
DEPT OF HEALTH/MENTAL HYGIENE,"File Clerk, Bureau of Early Intervention",CLERICAL AIDE,00,Early Intervention
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,01,Research & Investigation Unit
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,01,Research & Investigation Unit
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Commissioner, Bureau of HIV/AIDS Prevention and Control",HEALTH SERVICES MANAGER,M4,HIV/AIDS Administration
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Commissioner, Bureau of HIV/AIDS Prevention and Control",HEALTH SERVICES MANAGER,M4,HIV/AIDS Administration
DEPT OF HOMELESS SERVICES,Budget Analyst Intern,SUMMER COLLEGE INTERN,00,Office of Budget
DEPT OF HOMELESS SERVICES,Budget Analyst Intern,SUMMER COLLEGE INTERN,00,Office of Budget
DEPARTMENT OF BUILDINGS,Application Processing Clerk,CLERICAL ASSOCIATE,04,Staten Island Operations
DEPARTMENT OF BUILDINGS,Certificate of Occupancy Supervisor,PRINCIPAL ADMINISTRATIVE ASSOC,02,Staten Island Operations
CONSUMER AFFAIRS,Cure Senior  Settlement Officer,COMMUNITY ASSOCIATE,00,Adjudication
CONSUMER AFFAIRS,Cure Senior  Settlement Officer,COMMUNITY ASSOCIATE,00,Adjudication
DEPT OF HOMELESS SERVICES,DHS Training Intern,SUMMER GRADUATE INTERN,00,Personnel
DEPT OF HOMELESS SERVICES,DHS Training Intern,SUMMER GRADUATE INTERN,00,Personnel
DEPT OF HEALTH/MENTAL HYGIENE,"Clinic Billing Specialist, Bureau of Budget and Revenue",ADMINISTRATIVE STAFF ANALYST (,00,Fed-St-Other Cat Claims & Revs
DEPT OF HEALTH/MENTAL HYGIENE,"Clinic Billing Specialist, Bureau of Budget and Revenue",ADMINISTRATIVE STAFF ANALYST (,00,Fed-St-Other Cat Claims & Revs
CONSUMER AFFAIRS,Outreach Coordinator,COMMUNITY COORDINATOR,00,Paid Sick Leave
CONSUMER AFFAIRS,Outreach Coordinator,COMMUNITY COORDINATOR,00,Paid Sick Leave
DEPT OF HEALTH/MENTAL HYGIENE,"Executive Director, Mental Health",AGENCY MEDICAL DIRECTOR,M3,CHS Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Executive Director, Mental Health",AGENCY MEDICAL DIRECTOR,M3,CHS Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Laboratory Helper,LABORATORY HELPER,01,OCME-DNA
DEPT OF HEALTH/MENTAL HYGIENE,Laboratory Helper,LABORATORY HELPER,01,OCME-DNA
DEPARTMENT OF TRANSPORTATION,Electrician's Helper,ELECTRICIANS HELPER,00,Preventive Maintenance
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Commissioner,  Disease Control Administration",HEALTH SERVICES MANAGER,M3,Disease Control Administration
HOUSING PRESERVATION & DVLPMNT,Project Manager,COMMUNITY COORDINATOR,00,Initial Subsidies
HOUSING PRESERVATION & DVLPMNT,Project Manager,COMMUNITY COORDINATOR,00,Initial Subsidies
HOUSING PRESERVATION & DVLPMNT,Team Leader,COMMUNITY ASSOCIATE,00,HCV Unit
HOUSING PRESERVATION & DVLPMNT,Team Leader,COMMUNITY ASSOCIATE,00,HCV Unit
DEPARTMENT OF TRANSPORTATION,Electrician's Helper,ELECTRICIANS HELPER,00,Preventive Maintenance
DEPT OF HEALTH/MENTAL HYGIENE,"NYC HANES Data Analyst, Epidemiology Administration",CITY RESEARCH SCIENTIST,01,EPI Division Admin
DEPT OF HEALTH/MENTAL HYGIENE,"NYC HANES Data Analyst, Epidemiology Administration",CITY RESEARCH SCIENTIST,01,EPI Division Admin
DEPARTMENT OF FINANCE,Billing & Communications Manager,ADMINISTRATIVE TAX AUDITOR,M2,Billing and Communications
DEPT OF ENVIRONMENT PROTECTION,Assistant Section Chief,ASSOCIATE PROJECT MANAGER,01,WSO-Executive/Tech Mgmt Office
DEPT OF ENVIRONMENT PROTECTION,Assistant Section Chief,ASSOCIATE PROJECT MANAGER,01,WSO-Executive/Tech Mgmt Office
LAW DEPARTMENT,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Appeals
LAW DEPARTMENT,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Appeals
DEPT OF HEALTH/MENTAL HYGIENE,Child Care Assistant Borough Manager,CITY RESEARCH SCIENTIST,02,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,Consultant Public Health Social Worker,CONSULTANT (PUBLIC HEALTH-SOCI,00,CHS Mental Health
CONSUMER AFFAIRS,Deputy Commissioner for Communications,ADMINISTRATIVE STAFF ANALYST (,M7,External Affairs
CONSUMER AFFAIRS,Deputy Commissioner for Communications,ADMINISTRATIVE STAFF ANALYST (,M7,External Affairs
DEPT OF HEALTH/MENTAL HYGIENE,Child Care Assistant Borough Manager,CITY RESEARCH SCIENTIST,02,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Policy, Bureau of Maternal Infant and Reproductive Health",HEALTH SERVICES MANAGER,M1,"Maternal, Infant, & Repr. Hlth"
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Policy, Bureau of Maternal Infant and Reproductive Health",HEALTH SERVICES MANAGER,M1,"Maternal, Infant, & Repr. Hlth"
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,Enhanced Unit
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,Enhanced Unit
CONSUMER AFFAIRS,Assistant Commissioner for Communications,ADMINISTRATIVE STAFF ANALYST (,M5,External Affairs
CONSUMER AFFAIRS,Assistant Commissioner for Communications,ADMINISTRATIVE STAFF ANALYST (,M5,External Affairs
DEPT OF ENVIRONMENT PROTECTION,ASSOCIATE PROJECT MANAGER II,ASSOCIATE PROJECT MANAGER,02,Stn (6) Ctrl Opr Ctr - Plt O
DEPT OF ENVIRONMENT PROTECTION,ASSOCIATE PROJECT MANAGER II,ASSOCIATE PROJECT MANAGER,02,Stn (6) Ctrl Opr Ctr - Plt O
ADMIN FOR CHILDREN'S SVCS,Supervising Claims Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Dpty Comm Fnancl Svcs-Finance
ADMIN FOR CHILDREN'S SVCS,Supervising Claims Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Dpty Comm Fnancl Svcs-Finance
HRA/DEPT OF SOCIAL SERVICES,ENTERPRISE SUPPORT ADMINISTRATOR,COMPUTER SPECIALIST (SOFTWARE),04,Mgmt Information System-NM
DEPARTMENT OF FINANCE,Quality Assurance Analyst,CITY PLANNING TECHNICIAN,00,Property-Quality Assurance
CONSUMER AFFAIRS,Assistant Commissioner of Enforcement and Consumer Services,ADMINISTRATIVE STAFF ANALYST (,M5,Commissioner'S Office
CONSUMER AFFAIRS,Assistant Commissioner of Enforcement and Consumer Services,ADMINISTRATIVE STAFF ANALYST (,M5,Commissioner'S Office
DEPT OF INFO TECH & TELECOMM,"Associate Commissioner, MOME/General Manager",ADMINISTRATIVE STAFF ANALYST (,M4,MOME
DEPARTMENT OF FINANCE,Quality Assurance Analyst,CITY PLANNING TECHNICIAN,00,Property-Quality Assurance
DEPARTMENT OF FINANCE,City Assessor 3B,"CITY ASSESSOR (I,II,IIIA,IIIB)",3B,Property Field Central
DEPARTMENT OF FINANCE,City Assessor 3B,"CITY ASSESSOR (I,II,IIIA,IIIB)",3B,Property Field Central
DEPT OF INFO TECH & TELECOMM,"Associate Commissioner, MOME/General Manager",ADMINISTRATIVE STAFF ANALYST (,M4,MOME
DEPT OF INFO TECH & TELECOMM,NYC Media Producer,PROGRAM PRODUCER,01,MOME
DEPT OF INFO TECH & TELECOMM,NYC Media Producer,PROGRAM PRODUCER,01,MOME
DEPT OF HEALTH/MENTAL HYGIENE,"Investigator, Bureau of Audit Services",INVESTIGATOR,00,Fiscal Audits
DEPT OF HEALTH/MENTAL HYGIENE,"Investigator, Bureau of Audit Services",INVESTIGATOR,00,Fiscal Audits
ADMIN TRIALS AND HEARINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,ECB - Manhattan Office
ADMIN TRIALS AND HEARINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,ECB - Manhattan Office
OFF OF PAYROLL ADMINISTRATION,ISS Applications Developer,COMPUTER SPECIALIST (SOFTWARE),04,IT Services
OFF OF PAYROLL ADMINISTRATION,ISS Applications Developer,COMPUTER SPECIALIST (SOFTWARE),04,IT Services
DEPARTMENT OF TRANSPORTATION,GASOLINE ROLLER ENGINEER,GASOLINE ROLLER ENGINEER,00,RRM Queens (Glendale 1)
DEPARTMENT OF TRANSPORTATION,GASOLINE ROLLER ENGINEER,GASOLINE ROLLER ENGINEER,00,RRM Queens (Glendale 1)
ADMIN TRIALS AND HEARINGS,Post Hearing Clerk,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
ADMIN TRIALS AND HEARINGS,Post Hearing Clerk,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
FINANCIAL INFO SVCS AGENCY,UNIX ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,"Pyrl/HR, Tech Serv"
FINANCIAL INFO SVCS AGENCY,UNIX ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,"Pyrl/HR, Tech Serv"
HRA/DEPT OF SOCIAL SERVICES,EXECUTIVE DIRECTOR OF MANAGED CARE/HCSP CENTRALIZED MEDICAID UNIT,DEPUTY DIRECTOR OF ADMINISTRAT,M3,MICSA Medicaid Elig-MGR MD
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,ADMINISTRATIVE JOB OPPORTUNITY,01,FIA Operations-NM
DEPT OF INFO TECH & TELECOMM,Digital Production Manager,ADMINISTRATIVE STAFF ANALYST (,00,MOME
FINANCIAL INFO SVCS AGENCY,SAN ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,"Pyrl/HR, Tech Serv"
FINANCIAL INFO SVCS AGENCY,SAN ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,"Pyrl/HR, Tech Serv"
DEPARTMENT OF BUILDINGS,"Executive Director, Media Relations",ADMINISTRATIVE MANAGER,M3,Press Office
DEPT OF INFO TECH & TELECOMM,Digital Production Manager,ADMINISTRATIVE STAFF ANALYST (,00,MOME
DEPT OF ENVIRONMENT PROTECTION,"Supervisor, GIS Analytics Unit",COMPUTER ASSOC (SOFTWARE),01,WSO-Executive/Tech Mgmt Office
DEPT OF ENVIRONMENT PROTECTION,"Supervisor, GIS Analytics Unit",COMPUTER ASSOC (SOFTWARE),01,WSO-Executive/Tech Mgmt Office
CONSUMER AFFAIRS,Community Support Associate,COMMUNITY ASSOCIATE,00,Research & Investigation Unit
DEPARTMENT OF BUILDINGS,"Executive Director, Media Relations",ADMINISTRATIVE MANAGER,M3,Press Office
DEPT OF ENVIRONMENT PROTECTION,Special Assistant to the Commissioner,STAFF ANALYST TRAINEE,00,BCIA/BWT
DEPT OF ENVIRONMENT PROTECTION,Special Assistant to the Commissioner,STAFF ANALYST TRAINEE,00,BCIA/BWT
DEPARTMENT OF CORRECTION,Senior Stationary Engineer,SENIOR STATIONARY ENGINEER,00,R.I. Support Opp - Civilian
DEPARTMENT OF CORRECTION,Senior Stationary Engineer,SENIOR STATIONARY ENGINEER,00,R.I. Support Opp - Civilian
CONSUMER AFFAIRS,Community Support Associate,COMMUNITY ASSOCIATE,00,Research & Investigation Unit
DEPT OF ENVIRONMENT PROTECTION,Supervisor of Mapping Data Maintenance Unit,COMPUTER ASSOC (SOFTWARE),01,WSO-Executive/Tech Mgmt Office
DEPT OF ENVIRONMENT PROTECTION,Supervisor of Mapping Data Maintenance Unit,COMPUTER ASSOC (SOFTWARE),01,WSO-Executive/Tech Mgmt Office
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Epidemiologist, Specializing in Food Safety",CITY RESEARCH SCIENTIST,03,Environ Surveillance & Policy
DEPT OF INFO TECH & TELECOMM,Record Access Counsel,AGENCY ATTORNEY INTERNE,00,General Counsel
DEPT OF INFO TECH & TELECOMM,Record Access Counsel,AGENCY ATTORNEY INTERNE,00,General Counsel
DEPARTMENT OF CORRECTION,Principal Administrative Associate I,PRINCIPAL ADMINISTRATIVE ASSOC,01,Investigation Division
DEPARTMENT OF CORRECTION,Correction Administrative Aide,CORRECTION ADMINISTRATIVE AIDE,00,Investigation Division
DEPT OF ENVIRONMENT PROTECTION,Senior Permit Clerk,CLERICAL ASSOCIATE,04,Water Register/Clerical Bklyn
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Epidemiologist, Specializing in Food Safety",CITY RESEARCH SCIENTIST,03,Environ Surveillance & Policy
DEPT OF INFO TECH & TELECOMM,Senior Digital Communications Director,ADMINISTRATIVE STAFF ANALYST (,00,MOME
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,Initial Subsidies
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,Initial Subsidies
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,Moderate Rehab Program
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,Moderate Rehab Program
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,HCV Unit
HOUSING PRESERVATION & DVLPMNT,Case Manager,COMMUNITY ASSOCIATE,00,HCV Unit
DEPARTMENT OF TRANSPORTATION,Supervisor of Bridge Operations L-1,SUPERVISOR OF BRIDGE OPERATION,01,Bridge Operations Headquarte
DEPT OF INFO TECH & TELECOMM,Senior Digital Communications Director,ADMINISTRATIVE STAFF ANALYST (,00,MOME
DEPT OF HEALTH/MENTAL HYGIENE,"Operations Associate, Bureau of Child Care",PRINCIPAL ADMINISTRATIVE ASSOC,02,Child Care
DEPARTMENT OF BUILDINGS,Build It Back Administrator,CITY SERVICE AIDE,00,Ad Exc Borough Operations
DEPT OF ENVIRONMENT PROTECTION,Plumber,PLUMBER,00,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Plumber,PLUMBER,00,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,Senior Project Manager,COMPUTER SYSTEMS MANAGER,M2,OCME-Operations
DEPARTMENT OF BUILDINGS,Build It Back Administrator,CITY SERVICE AIDE,00,Ad Exc Borough Operations
DEPT OF HEALTH/MENTAL HYGIENE,Director of Epidemiology and Surveillance,CITY RESEARCH SCIENTIST,4A,CHS Public Health
DEPT OF HEALTH/MENTAL HYGIENE,Director of Epidemiology and Surveillance,CITY RESEARCH SCIENTIST,4A,CHS Public Health
DEPT OF ENVIRONMENT PROTECTION,Flow Test Engineer,ASSOCIATE PROJECT MANAGER,01,Sys Operations-Bx Mgmt Eng
DEPT OF HEALTH/MENTAL HYGIENE,Senior Project Manager,COMPUTER SYSTEMS MANAGER,M2,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,"PCSI Epi Scholar, Disease Control Administration",SUMMER GRADUATE INTERN,00,Disease Control Administration
DEPT OF HEALTH/MENTAL HYGIENE,"PCSI Epi Scholar, Disease Control Administration",SUMMER GRADUATE INTERN,00,Disease Control Administration
DEPT OF ENVIRONMENT PROTECTION,Flow Test Engineer,ASSOCIATE PROJECT MANAGER,01,Sys Operations-Bx Mgmt Eng
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Fitness Review
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Fitness Review
DEPT OF ENVIRONMENT PROTECTION,"Supervisor, Operational Support Unit",COMPUTER ASSOC (SOFTWARE),01,WSO-Executive/Tech Mgmt Office
DEPT OF ENVIRONMENT PROTECTION,"Supervisor, Operational Support Unit",COMPUTER ASSOC (SOFTWARE),01,WSO-Executive/Tech Mgmt Office
FINANCIAL INFO SVCS AGENCY,DMS ANALYST,COMPUTER SYSTEMS MANAGER,M1,"Fin Sys, Bus Analys"
FINANCIAL INFO SVCS AGENCY,DMS ANALYST,COMPUTER SYSTEMS MANAGER,M1,"Fin Sys, Bus Analys"
FINANCIAL INFO SVCS AGENCY,FACT TEAM ANALYST,COMPUTER ASSOC (SOFTWARE),03,"Fin Sys, Bus Analys"
FINANCIAL INFO SVCS AGENCY,FACT TEAM ANALYST,COMPUTER ASSOC (SOFTWARE),03,"Fin Sys, Bus Analys"
ADMIN TRIALS AND HEARINGS,Operations Clerk,COMMUNITY SERVICE AIDE,00,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Operations Clerk,COMMUNITY SERVICE AIDE,00,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Customer Service Clerk,COMMUNITY ASSOCIATE,00,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Customer Service Clerk,COMMUNITY ASSOCIATE,00,Taxi Tribunal-Queens
CONSUMER AFFAIRS,Data Associate,COMMUNITY ASSOCIATE,00,Commissioner'S Office
CONSUMER AFFAIRS,Data Associate,COMMUNITY ASSOCIATE,00,Commissioner'S Office
DEPT OF HEALTH/MENTAL HYGIENE,Clinical Systems Integration Coordinator,CITY RESEARCH SCIENTIST,02,"Alcohol, Drug Prev & Treatment"
DEPT OF HEALTH/MENTAL HYGIENE,Clinical Systems Integration Coordinator,CITY RESEARCH SCIENTIST,02,"Alcohol, Drug Prev & Treatment"
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, NYC WORKFORCE DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,M5,Workforce Investment Board
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, NYC WORKFORCE DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,M5,Workforce Investment Board
HRA/DEPT OF SOCIAL SERVICES,COMPLIANCE COUNSEL,EXECUTIVE AGENCY COUNSEL,M2,Med Insur/Community Svc-NM
HRA/DEPT OF SOCIAL SERVICES,SENIOR PRINCIPAL PROGRAMMER ANALYST,COMPUTER ASSOC (SOFTWARE),03,Mgmt Information System-NM
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Payroll, Bureau of Controller",ADMINISTRATIVE STAFF ANALYST (,00,Fiscal Management
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Payroll, Bureau of Controller",ADMINISTRATIVE STAFF ANALYST (,00,Fiscal Management
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Commissioner,  Disease Control Administration",HEALTH SERVICES MANAGER,M3,Disease Control Administration
DEPARTMENT OF FINANCE,Billing & Communications Manager,ADMINISTRATIVE TAX AUDITOR,M2,Billing and Communications
DEPT OF ENVIRONMENT PROTECTION,PERSONAL ASSISTANT,CLERICAL ASSOCIATE,04,OIT/WSO
DEPT OF HEALTH/MENTAL HYGIENE,"City Custodial Assistant, Bureau of Operations",CITY CUSTODIAL ASSISTANT,00,Operations
DEPT OF HEALTH/MENTAL HYGIENE,"City Custodial Assistant, Bureau of Operations",CITY CUSTODIAL ASSISTANT,00,Operations
ADMIN FOR CHILDREN'S SVCS,"Family Assessment Program, Program Director",ADMINISTRATIVE DIRECTOR OF SOC,M1,Family assessment Program-YFJ
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Employee Services Helpline
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Employee Services Helpline
DEPT OF ENVIRONMENT PROTECTION,CONSTRUCTION PROJECT MANAGER INTERN,CONSTRUCTION PROJECT MANAGER I,00,Blue Belt Unit
DEPT OF ENVIRONMENT PROTECTION,CONSTRUCTION PROJECT MANAGER INTERN,CONSTRUCTION PROJECT MANAGER I,00,Blue Belt Unit
DEPARTMENT OF CORRECTION,Investigator (Discipline/Staff Conduct),INVESTIGATOR(DISCP)(ONLY FOR P,01,Investigation Division
DEPT OF HEALTH/MENTAL HYGIENE,"Diversity and EEO Director, Bureau of Human Resources and Labor Relations",ADMINISTRATIVE STAFF ANALYST (,M2,HR Central
DEPT OF HEALTH/MENTAL HYGIENE,"Diversity and EEO Director, Bureau of Human Resources and Labor Relations",ADMINISTRATIVE STAFF ANALYST (,M2,HR Central
DEPARTMENT OF CORRECTION,Investigator (Discipline/Staff Conduct),INVESTIGATOR(DISCP)(ONLY FOR P,02,Investigation Division
DEPARTMENT OF CORRECTION,Investigator (Discipline/Staff Conduct),INVESTIGATOR(DISCP)(ONLY FOR P,02,Investigation Division
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Chief Alj
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Chief Alj
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Property Field Central
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Property Field Central
